fullname,abbr,issn,category,rank,ccf-rank,分区,Top 期刊
Journal of Neurolinguistics,J NEUROLINGUIST,0911-6044,心理学,E,,4,否
Journal of Psychophysiology,J PSYCHOPHYSIOL,0269-8803,心理学,E,,4,否
Language Cognition and Neuroscience,LANG COGN NEUROSCI,2327-3798,心理学,E,,3,否
Learning & Behavior,LEARN BEHAV,1543-4494,心理学,E,,4,否
Neuropsychobiology,NEUROPSYCHOBIOLOGY,0302-282X,心理学,E,,4,否
Neuropsychological Rehabilitation,NEUROPSYCHOL REHABIL,0960-2011,心理学,E,,4,否
Perception,PERCEPTION,0301-0066,心理学,E,,4,否
Pratiques Psychologiques,PRAT PSYCHOL,1269-1763,心理学,E,,4,否
Revista Argentina de Clinica Psicologica,REV ARGENT CLIN PSIC,0327-6716,心理学,E,,,
Spanish Journal of Psychology,SPAN J PSYCHOL,1138-7416,心理学,E,,4,否
Stress-The International Journal on the Biology of Stress,STRESS,1025-3890,心理学,E,,4,否
Zeitschrift Fur Neuropsychologie,Z NEUROPSYCHOL,1016-264X,心理学,E,,4,否
Acoustics Australia,ACOUST AUST,0814-6039,物理与天体物理,E,,4,否
Acoustical Physics,ACOUST PHYS+,1063-7710,物理与天体物理,E,,4,否
Acta Acustica United with Acustica,ACTA ACUST UNITED AC,1610-1928,物理与天体物理,E,,,
Acta Astronomica,ACTA ASTRONOM,0001-5237,物理与天体物理,E,,4,否
Acta Physica Polonica A,ACTA PHYS POL A,0587-4246,物理与天体物理,E,,4,否
Acta Physica Polonica B,ACTA PHYS POL B,0587-4254,物理与天体物理,E,,4,否
Acta Physica Slovaca,ACTA PHYS SLOVACA,0323-0465,物理与天体物理,E,,,
Advances in Astronomy,ADV ASTRON,1687-7969,物理与天体物理,E,,3,否
Advances in Chemical Physics,ADV CHEM PHYS,0065-2385,物理与天体物理,E,,,
Advances in Condensed Matter Physics,ADV COND MATTER PHYS,1687-8108,物理与天体物理,E,,4,否
Advances in High Energy Physics,ADV HIGH ENERGY PHYS,1687-7357,物理与天体物理,E,,4,否
Advances in Mathematical Physics,ADV MATH PHYS,1687-9120,物理与天体物理,E,,4,否
Applied Magnetic Resonance,APPL MAGN RESON,0937-9347,物理与天体物理,E,,4,否
Applied Physics B-Lasers and Optics,APPL PHYS B-LASERS O,0946-2171,物理与天体物理,E,,4,否
Archives of Acoustics,ARCH ACOUST,0137-5075,物理与天体物理,E,,4,否
Astronomy and Computing,ASTRON COMPUT,2213-1337,物理与天体物理,E,,4,否
Astronomy & Geophysics,ASTRON GEOPHYS,1366-8781,物理与天体物理,E,,4,否
Astronomy Letters-A Journal of Astronomy and Space Astrophysics,ASTRON LETT+,1063-7737,物理与天体物理,E,,4,否
Astronomische Nachrichten,ASTRON NACHR,0004-6337,物理与天体物理,E,,4,否
Astronomy Reports,ASTRON REP+,1063-7729,物理与天体物理,E,,4,否
Astrophysical Bulletin,ASTROPHYS BULL,1990-3413,物理与天体物理,E,,4,否
Astrophysics and Space Science,ASTROPHYS SPACE SCI,0004-640X,物理与天体物理,E,,4,否
Astrophysics,ASTROPHYSICS+,0571-7256,物理与天体物理,E,,4,否
Bulletin of the Lebedev Physics Institute,B LEBEDEV PHYS INST+,1068-3356,物理与天体物理,E,,4,否
Brazilian Journal of Physics,BRAZ J PHYS,0103-9733,物理与天体物理,E,,4,否
Canadian Journal of Physics,CAN J PHYS,0008-4204,物理与天体物理,E,,4,否
Condensed Matter Physics,CONDENS MATTER PHYS,1607-324X,物理与天体物理,E,,4,否
Contributions of the Astronomical Observatory Skalnate Pleso,CONTRIB ASTRON OBS S,1335-1842,物理与天体物理,E,,4,否
Cosmic Research,COSMIC RES+,0010-9525,物理与天体物理,E,,4,否
Current Applied Physics,CURR APPL PHYS,1567-1739,物理与天体物理,E,,4,否
Current Optics and Photonics,CURR OPT PHOTONICS,2508-7266,物理与天体物理,E,,4,否
Doklady Physics,DOKL PHYS,1028-3358,物理与天体物理,E,,4,否
Earth Moon and Planets,EARTH MOON PLANETS,0167-9295,物理与天体物理,E,,4,否
European Journal of Physics,EUR J PHYS,0143-0807,物理与天体物理,E,,4,否
European Physical Journal B,EUR PHYS J B,1434-6028,物理与天体物理,E,,4,否
European Physical Journal D,EUR PHYS J D,1434-6060,物理与天体物理,E,,4,否
European Physical Journal E,EUR PHYS J E,1292-8941,物理与天体物理,E,,4,否
European Physical Journal- Applied Physics,EUR PHYS J-APPL PHYS,1286-0042,物理与天体物理,E,,4,否
European Physical Journal-Special Topics,EUR PHYS J-SPEC TOP,1951-6355,物理与天体物理,E,,3,否
Experimental Astronomy,EXP ASTRON,0922-6435,物理与天体物理,E,,4,否
Ferroelectrics Letters Section,FERROELECTRICS LETT,0731-5171,物理与天体物理,E,,4,否
Few-Body Systems,FEW-BODY SYST,0177-7963,物理与天体物理,E,,4,否
Fiber and Integrated Optics,FIBER INTEGRATED OPT,0146-8030,物理与天体物理,E,,3,否
Foundations of Physics,FOUND PHYS,0015-9018,物理与天体物理,E,,3,否
Frontiers in Physics,FRONT PHYS-LAUSANNE,2296-424X,物理与天体物理,E,,4,否
General Relativity and Gravitation,GEN RELAT GRAVIT,0001-7701,物理与天体物理,E,,4,否
Gravitation & Cosmology,GRAVIT COSMOL-RUSSIA,0202-2893,物理与天体物理,E,,4,否
High Pressure Research,HIGH PRESSURE RES,0895-7959,物理与天体物理,E,,4,否
High Temperature,HIGH TEMP+,0018-151X,物理与天体物理,E,,4,否
IEEE Magnetics Letters,IEEE MAGN LETT,1949-307X,物理与天体物理,E,,4,否
Indian Journal of Physics,INDIAN J PHYS,0973-1458,物理与天体物理,E,,4,否
Indian Journal of Pure & Applied Physics,INDIAN J PURE AP PHY,0019-5596,物理与天体物理,E,,4,否
International Journal of Astrobiology,INT J ASTROBIOL,1473-5504,物理与天体物理,E,,4,否
International Journal of Geometric Methods in Modern Physics,INT J GEOM METHODS M,0219-8878,物理与天体物理,E,,3,否
International Journal of Modern Physics A,INT J MOD PHYS A,0217-751X,物理与天体物理,E,,4,否
International Journal of Modern Physics B,INT J MOD PHYS B,0217-9792,物理与天体物理,E,,4,否
International Journal of Modern Physics C,INT J MOD PHYS C,0129-1831,物理与天体物理,E,,4,否
International Journal of Modern Physics D,INT J MOD PHYS D,0218-2718,物理与天体物理,E,,4,否
International Journal of Modern Physics E,INT J MOD PHYS E,0218-3013,物理与天体物理,E,,4,否
International Journal of Optics,INT J OPT,1687-9384,物理与天体物理,E,,4,否
International Journal of Quantum Information,INT J QUANTUM INF,0219-7499,物理与天体物理,E,,4,否
International Journal of Theoretical Physics,INT J THEOR PHYS,0020-7748,物理与天体物理,E,,4,否
Journal of Astrophysics and Astronomy,J ASTROPHYS ASTRON,0250-6335,物理与天体物理,E,,4,否
Journal of Contemporary Physics-Armenian Academy of Sciences,J CONTEMP PHYS-ARME+,1068-3372,物理与天体物理,E,,4,否
Journal of Electron Spectroscopy and Related Phenomena,J ELECTRON SPECTROSC,0368-2048,物理与天体物理,E,,3,否
Journal of the European Optical Society-Rapid Publications,J EUR OPT SOC-RAPID,1990-2573,物理与天体物理,E,,4,否
Journal of Experimental and Theoretical Physics,J EXP THEOR PHYS+,1063-7761,物理与天体物理,E,,4,否
Journal of High Energy Astrophysics,J HIGH ENERGY ASTROP,2214-4048,物理与天体物理,E,,3,否
Journal of Infrared and Millimeter Waves,J INFRARED MILLIM W,1001-9014,物理与天体物理,E,,3,否
Journal of the Korean Astronomical Society,J KOREAN ASTRON SOC,1225-4614,物理与天体物理,E,,4,否
Journal of the Korean Physical Society,J KOREAN PHYS SOC,0374-4884,物理与天体物理,E,,4,否
Journal of Low Temperature Physics,J LOW TEMP PHYS,0022-2291,物理与天体物理,E,,4,否
Journal of Modern Optics,J MOD OPTIC,0950-0340,物理与天体物理,E,,4,否
Journal of Molecular Spectroscopy,J MOL SPECTROSC,0022-2852,物理与天体物理,E,,4,否
Journal of Nanophotonics,J NANOPHOTONICS,1934-2608,物理与天体物理,E,,4,否
Journal of Optical Technology,J OPT TECHNOL+,1070-9762,物理与天体物理,E,,4,否
Journal of Optics,J OPTICS-UK,2040-8978,物理与天体物理,E,,4,否
Journal of the Physical Society of Japan,J PHYS SOC JPN,0031-9015,物理与天体物理,E,,4,否
Journal of Russian Laser Research,J RUSS LASER RES,1071-2836,物理与天体物理,E,,4,否
Journal of Superconductivity and Novel Magnetism,J SUPERCOND NOV MAGN,1557-1939,物理与天体物理,E,,4,否
Jetp Letters,JETP LETT+,0021-3640,物理与天体物理,E,,4,否
Japanese Journal of Applied Physics,JPN J APPL PHYS,0021-4922,物理与天体物理,E,,4,否
Kinematics and Physics of Celestial Bodies,KINEMAT PHYS CELEST+,0884-5913,物理与天体物理,E,,4,否
Laser Focus World,LASER FOCUS WORLD,1043-8092,物理与天体物理,E,,,
Laser and Particle Beams,LASER PART BEAMS,0263-0346,物理与天体物理,E,,4,否
Laser Physics,LASER PHYS,1054-660X,物理与天体物理,E,,4,否
Lithuanian Journal of Physics,LITH J PHYS,1648-8504,物理与天体物理,E,,4,否
Low Temperature Physics,LOW TEMP PHYS+,1063-777X,物理与天体物理,E,,4,否
Modern Physics Letters A,MOD PHYS LETT A,0217-7323,物理与天体物理,E,,4,否
Modern Physics Letters B,MOD PHYS LETT B,0217-9849,物理与天体物理,E,,4,否
Moscow University Physics Bulletin,MOSC U PHYS B+,0027-1349,物理与天体物理,E,,4,否
New Astronomy,NEW ASTRON,1384-1076,物理与天体物理,E,,4,否
Nuclear Physics A,NUCL PHYS A,0375-9474,物理与天体物理,E,,4,否
Nukleonika,NUKLEONIKA,0029-5922,物理与天体物理,E,,4,否
Observatory,OBSERVATORY,0029-7704,物理与天体物理,E,,4,否
Open Astronomy,OPEN ASTRON,2543-6376,物理与天体物理,E,,4,否
Open Physics,OPEN PHYS,2391-5471,物理与天体物理,E,,4,否
Open Systems & Information Dynamics,OPEN SYST INF DYN,1230-1612,物理与天体物理,E,,4,否
Optica Applicata,OPT APPL,0078-5466,物理与天体物理,E,,4,否
Optical Review,OPT REV,1340-6000,物理与天体物理,E,,4,否
Optics and Spectroscopy,OPT SPECTROSC+,0030-400X,物理与天体物理,E,,4,否
Optik,OPTIK,0030-4026,物理与天体物理,E,,,
Origins of Life and Evolution of Biospheres,ORIGINS LIFE EVOL B,0169-6149,物理与天体物理,E,,4,否
Photonic Sensors,PHOTONIC SENS,1674-9251,物理与天体物理,E,,1,是
Physics of Atomic Nuclei,PHYS ATOM NUCL+,1063-7788,物理与天体物理,E,,4,否
Physics of Particles and Nuclei,PHYS PART NUCLEI+,1063-7796,物理与天体物理,E,,4,否
Physics of the Solid State,PHYS SOLID STATE+,1063-7834,物理与天体物理,E,,4,否
Physica Status Solidi B-Basic Solid State Physics,PHYS STATUS SOLIDI B,0370-1972,物理与天体物理,E,,4,否
Physics of Wave Phenomena,PHYS WAVE PHENOM,1541-308X,物理与天体物理,E,,4,否
Physics World,PHYS WORLD,0953-8585,物理与天体物理,E,,4,否
Physica C-Superconductivity and Its Applications,PHYSICA C,0921-4534,物理与天体物理,E,,4,否
Planetary and Space Science,PLANET SPACE SCI,0032-0633,物理与天体物理,E,,4,否
Plasma Physics Reports,PLASMA PHYS REP+,1063-780X,物理与天体物理,E,,4,否
Plasma Science & Technology,PLASMA SCI TECHNOL,1009-0630,物理与天体物理,E,,3,否
Pramana-Journal of Physics,PRAMANA-J PHYS,0304-4289,物理与天体物理,E,,4,否
Progress of Theoretical and Experimental Physics,PROG THEOR EXP PHYS,2050-3911,物理与天体物理,E,,4,否
Publications of the Astronomical Society of Japan,PUBL ASTRON SOC JPN,0004-6264,物理与天体物理,E,,4,否
Publications of the Astronomical Society of the Pacific,PUBL ASTRON SOC PAC,0004-6280,物理与天体物理,E,,4,否
Quantum Information & Computation,QUANTUM INF COMPUT,1533-7146,物理与天体物理,E,,4,否
Radiation Effects and Defects in Solids,RADIAT EFF DEFECT S,1042-0150,物理与天体物理,E,,4,否
Reports on Mathematical Physics,REP MATH PHYS,0034-4877,物理与天体物理,E,,4,否
Revista Mexicana de Astronomia y Astrofisica,REV MEX ASTRON ASTR,0185-1101,物理与天体物理,E,,4,否
Revista Mexicana de Fisica,REV MEX FIS,0035-001X,物理与天体物理,E,,4,否
Romanian Journal of Physics,ROM J PHYS,1221-146X,物理与天体物理,E,,4,否
Russian Physics Journal,RUSS PHYS J+,1064-8887,物理与天体物理,E,,4,否
Semiconductors and Semimetals,SEMICONDUCT SEMIMET,0080-8784,物理与天体物理,E,,,
Semiconductors,SEMICONDUCTORS+,1063-7826,物理与天体物理,E,,4,否
Serbian Astronomical Journal,SERB ASTRON J,1450-698X,物理与天体物理,E,,4,否
Solar System Research,SOLAR SYST RES+,0038-0946,物理与天体物理,E,,4,否
Solid State Communications,SOLID STATE COMMUN,0038-1098,物理与天体物理,E,,4,否
Solid State Physics,SOLID STATE PHYS,0081-1947,物理与天体物理,E,,,
Spin,SPIN-SINGAPORE,2010-3247,物理与天体物理,E,,4,否
Technical Physics Letters,TECH PHYS LETT+,1063-7850,物理与天体物理,E,,4,否
Technical Physics,TECH PHYS+,1063-7842,物理与天体物理,E,,4,否
Theoretical and Mathematical Physics,THEOR MATH PHYS+,0040-5779,物理与天体物理,E,,4,否
Topics in Applied Physics,TOP APPL PHYS,0303-4216,物理与天体物理,E,,,
Ukrainian Journal of Physical Optics,UKR J PHYS OPT,1609-1833,物理与天体物理,E,,4,否
Universe,UNIVERSE-BASEL,2218-1997,物理与天体物理,E,,3,否
Zeitschrift Fur Naturforschung Section A-A Journal of Physical Sciences,Z NATURFORSCH A,0932-0784,物理与天体物理,E,,4,否
Abhandlungen Aus Dem Mathematischen Seminar der Universitat Hamburg,ABH MATH SEM HAMBURG,0025-5858,数学,E,,4,否
Acta Applicandae Mathematicae,ACTA APPL MATH,0167-8019,数学,E,,4,否
Acta Arithmetica,ACTA ARITH,0065-1036,数学,E,,3,否
Acta Mathematicae Applicatae Sinica-English Series,ACTA MATH APPL SIN-E,0168-9673,数学,E,,4,否
Acta Mathematica Hungarica,ACTA MATH HUNG,0236-5294,数学,E,,4,否
Advances in Applied Clifford Algebras,ADV APPL CLIFFORD AL,0188-7009,数学,E,,4,否
Advances in Applied Probability,ADV APPL PROBAB,0001-8678,数学,E,,3,否
Advances in Computational Mathematics,ADV COMPUT MATH,1019-7168,数学,E,,3,否
Advances in Difference Equations,ADV DIFFER EQU-NY,1687-1847,数学,E,,,
Alea-Latin American Journal of Probability and Mathematical Statistics,ALEA-LAT AM J PROBAB,1980-0436,数学,E,,4,否
Algebra Colloquium,ALGEBR COLLOQ,1005-3867,数学,E,,4,否
Algebras and Representation Theory,ALGEBR REPRESENT TH,1386-923X,数学,E,,4,否
American Mathematical Monthly,AM MATH MON,0002-9890,数学,E,,4,否
American Statistician,AM STAT,0003-1305,数学,E,,3,否
Analele Stiintifice Ale Universitatii Ovidius Constanta-Seria Matematica,AN STI U OVID CO-MAT,1224-1784,数学,E,,4,否
Analysis and Geometry in Metric Spaces,ANAL GEOM METR SPACE,2299-3274,数学,E,,3,否
Annals of Applied Statistics,ANN APPL STAT,1932-6157,数学,E,,4,否
Annals of Functional Analysis,ANN FUNCT ANAL,2008-8752,数学,E,,3,否
Annals of Global Analysis and Geometry,ANN GLOB ANAL GEOM,0232-704X,数学,E,,4,否
Annales Polonici Mathematici,ANN POL MATH,0066-2216,数学,E,,4,否
Anziam Journal,ANZIAM J,1446-1811,数学,E,,4,否
Applicable Analysis,APPL ANAL,0003-6811,数学,E,,4,否
Applications of Mathematics,APPL MATH-CZECH,0862-7940,数学,E,,4,否
Applied Stochastic Models in Business and Industry,APPL STOCH MODEL BUS,1524-1904,数学,E,,4,否
Archiv der Mathematik,ARCH MATH,0003-889X,数学,E,,4,否
Ars Combinatoria,ARS COMBINATORIA,0381-7032,数学,E,,,
Asta-Advances in Statistical Analysis,ASTA-ADV STAT ANAL,1863-8171,数学,E,,4,否
Asterisque,ASTERISQUE,0303-1179,数学,E,,4,否
Asymptotic Analysis,ASYMPTOTIC ANAL,0921-7134,数学,E,,4,否
Australian & New Zealand Journal of Statistics,AUST NZ J STAT,1369-1473,数学,E,,4,否
Bulletin of the Australian Mathematical Society,B AUST MATH SOC,0004-9727,数学,E,,4,否
Bulletin of the Belgian Mathematical Society-Simon Stevin,B BELG MATH SOC-SIM,1370-1444,数学,E,,4,否
Bulletin of the Brazilian Mathematical Society,B BRAZ MATH SOC,1678-7544,数学,E,,3,否
Bulletin of the Iranian Mathematical Society,B IRAN MATH SOC,1017-060X,数学,E,,4,否
Bulletin of the Korean Mathematical Society,B KOREAN MATH SOC,1015-8634,数学,E,,4,否
Bulletin of the Malaysian Mathematical Sciences Society,B MALAYS MATH SCI SO,0126-6705,数学,E,,3,否
Bulletin of Mathematical Biology,B MATH BIOL,0092-8240,数学,E,,4,否
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,B MATH SOC SCI MATH,1220-3874,数学,E,,4,否
Bulletin des Sciences Mathematiques,B SCI MATH,0007-4497,数学,E,,3,否
Bulletin de la Societe Mathematique de France,B SOC MATH FR,0037-9484,数学,E,,4,否
Boundary Value Problems,BOUND VALUE PROBL,1687-2770,数学,E,,4,否
Brazilian Journal of Probability and Statistics,BRAZ J PROBAB STAT,0103-0752,数学,E,,4,否
Calcolo,CALCOLO,0008-0624,数学,E,,3,否
Canadian Journal of Statistics-Revue Canadienne de Statistique,CAN J STAT,0319-5724,数学,E,,4,否
Canadian Mathematical Bulletin-Bulletin Canadien de Mathematiques,CAN MATH BULL,0008-4395,数学,E,,4,否
Carpathian Journal of Mathematics,CARPATHIAN J MATH,1584-2851,数学,E,,3,否
Chinese Annals of Mathematics Series B,CHINESE ANN MATH B,0252-9599,数学,E,,4,否
Colloquium Mathematicum,COLLOQ MATH-WARSAW,0010-1354,数学,E,,4,否
Communications in Algebra,COMMUN ALGEBRA,0092-7872,数学,E,,3,否
Communications in Mathematical Sciences,COMMUN MATH SCI,1539-6746,数学,E,,4,否
Communications in Number Theory and Physics,COMMUN NUMBER THEORY,1931-4523,数学,E,,2,否
Communications in Statistics-Simulation and Computation,COMMUN STAT-SIMUL C,0361-0918,数学,E,,4,否
Communications in Statistics-Theory and Methods,COMMUN STAT-THEOR M,0361-0926,数学,E,,4,否
Computational Mathematics and Mathematical Physics,COMP MATH MATH PHYS+,0965-5425,数学,E,,4,否
Complex Analysis and Operator Theory,COMPLEX ANAL OPER TH,1661-8254,数学,E,,4,否
Computational & Applied Mathematics,COMPUT APPL MATH,2238-3603,数学,E,,3,否
Computational Methods in Applied Mathematics,COMPUT METH APPL MAT,1609-4840,数学,E,,4,否
Computational Statistics,COMPUTATION STAT,0943-4062,数学,E,,4,否
Contributions to Discrete Mathematics,CONTRIB DISCRET MATH,1715-0868,数学,E,,4,否
Comptes Rendus Mathematique,CR MATH,1631-073X,数学,E,,4,否
Czechoslovak Mathematical Journal,CZECH MATH J,0011-4642,数学,E,,4,否
Differential Equations,DIFF EQUAT+,0012-2661,数学,E,,4,否
Differential Geometry and Its Applications,DIFFER GEOM APPL,0926-2245,数学,E,,4,否
Differential and Integral Equations,DIFFER INTEGRAL EQU,0893-4983,数学,E,,3,否
Discrete and Continuous Dynamical Systems-Series B,DISCRETE CONT DYN-B,1531-3492,数学,E,,4,否
Discrete and Continuous Dynamical Systems-Series S,DISCRETE CONT DYN-S,1937-1632,数学,E,,4,否
Discrete Dynamics in Nature and Society,DISCRETE DYN NAT SOC,1026-0226,数学,E,,4,否
Discrete Mathematics and Theoretical Computer Science,DISCRETE MATH THEOR,1462-7264,数学,E,,4,否
Discrete Optimization,DISCRETE OPTIM,1572-5286,数学,E,,4,否
Dissertationes Mathematicae,DISS MATH,0012-3862,数学,E,,3,否
Doklady Mathematics,DOKL MATH,1064-5624,数学,E,,4,否
Dynamic Games and Applications,DYN GAMES APPL,2153-0785,数学,E,,4,否
Dynamics of Partial Differential Equations,DYNAM PART DIFFER EQ,1548-159X,数学,E,,3,否
Dynamical Systems-An International Journal,DYNAM SYST,1468-9367,数学,E,,4,否
Dynamic Systems and Applications,DYNAM SYST APPL,1056-2176,数学,E,,,
East Asian Journal on Applied Mathematics,E ASIAN J APPL MATH,2079-7362,数学,E,,4,否
Electronic Communications in Probability,ELECTRON COMMUN PROB,1083-589X,数学,E,,4,否
Electronic Journal of Combinatorics,ELECTRON J COMB,1077-8926,数学,E,,3,否
Electronic Journal of Differential Equations,ELECTRON J DIFFER EQ,1072-6691,数学,E,,4,否
Electronic Journal of Linear Algebra,ELECTRON J LINEAR AL,1537-9582,数学,E,,4,否
Electronic Journal of Probability,ELECTRON J PROBAB,1083-6489,数学,E,,2,否
Electronic Journal of Qualitative Theory of Differential Equations,ELECTRON J QUAL THEO,1417-3875,数学,E,,4,否
Electronic Research Announcements in Mathematical Sciences,ELECTRON RES ANNOUNC,1935-9179,数学,E,,,
Esaim-Probability and Statistics,ESAIM-PROBAB STAT,1292-8100,数学,E,,4,否
European Journal of Applied Mathematics,EUR J APPL MATH,0956-7925,数学,E,,4,否
Evolution Equations and Control Theory,EVOL EQU CONTROL THE,2163-2480,数学,E,,4,否
Experimental Mathematics,EXP MATH,1058-6458,数学,E,,3,否
Expositiones Mathematicae,EXPO MATH,0723-0869,数学,E,,3,否
Filomat,FILOMAT,0354-5180,数学,E,,4,否
Fixed Point Theory,FIXED POINT THEOR-RO,1583-5022,数学,E,,4,否
Functional Analysis and Its Applications,FUNCT ANAL APPL+,0016-2663,数学,E,,4,否
Funkcialaj Ekvacioj-Serio Internacia,FUNKC EKVACIOJ-SER I,0532-8721,数学,E,,4,否
Geometriae Dedicata,GEOMETRIAE DEDICATA,0046-5755,数学,E,,4,否
Georgian Mathematical Journal,GEORGIAN MATH J,1072-947X,数学,E,,4,否
Glasgow Mathematical Journal,GLASGOW MATH J,0017-0895,数学,E,,4,否
Graphs and Combinatorics,GRAPH COMBINATOR,0911-0119,数学,E,,4,否
Hacettepe Journal of Mathematics and Statistics,HACET J MATH STAT,1303-5010,数学,E,,,
Hiroshima Mathematical Journal,HIROSHIMA MATH J,0018-2079,数学,E,,4,否
Hokkaido Mathematical Journal,HOKKAIDO MATH J,0385-4035,数学,E,,4,否
Houston Journal of Mathematics,HOUSTON J MATH,0362-1588,数学,E,,4,否
IMA Journal of Applied Mathematics,IMA J APPL MATH,0272-4960,数学,E,,4,否
Indian Journal of Pure & Applied Mathematics,INDIAN J PURE AP MAT,0019-5588,数学,E,,4,否
Infinite Dimensional Analysis Quantum Probability and Related Topics,INFIN DIMENS ANAL QU,0219-0257,数学,E,,4,否
International Journal of Bifurcation and Chaos,INT J BIFURCAT CHAOS,0218-1274,数学,E,,4,否
International Journal of Biomathematics,INT J BIOMATH,1793-5245,数学,E,,2,否
International Journal of Biostatistics,INT J BIOSTAT,2194-573X,数学,E,,4,否
International Journal of Computer Mathematics,INT J COMPUT MATH,0020-7160,数学,E,,4,否
International Journal of Mathematics,INT J MATH,0129-167X,数学,E,,4,否
International Journal of Number Theory,INT J NUMBER THEORY,1793-0421,数学,E,,4,否
International Journal of Numerical Analysis and Modeling,INT J NUMER ANAL MOD,1705-5105,数学,E,,4,否
Integral Equations and Operator Theory,INTEGR EQUAT OPER TH,0378-620X,数学,E,,3,否
Integral Transforms and Special Functions,INTEGR TRANSF SPEC F,1065-2469,数学,E,,4,否
Interfaces and Free Boundaries,INTERFACE FREE BOUND,1463-9963,数学,E,,3,否
Inverse Problems and Imaging,INVERSE PROBL IMAG,1930-8337,数学,E,,4,否
Iranian Journal of Fuzzy Systems,IRAN J FUZZY SYST,1735-0654,数学,E,,4,否
Journal of Agricultural Biological and Environmental Statistics,J AGR BIOL ENVIR ST,1085-7117,数学,E,,4,否
Journal of Applied Analysis and Computation,J APPL ANAL COMPUT,2156-907X,数学,E,,4,否
Journal of Applied Probability,J APPL PROBAB,0021-9002,数学,E,,4,否
Journal of Applied Statistics,J APPL STAT,0266-4763,数学,E,,4,否
Journal of Combinatorial Optimization,J COMB OPTIM,1382-6905,数学,E,,4,否
Journal of Commutative Algebra,J COMMUT ALGEBR,1939-0807,数学,E,,4,否
Journal of Contemporary Mathematical Analysis-Armenian Academy of Sciences,J CONTEMP MATH ANAL+,1068-3623,数学,E,,4,否
Journal of Convex Analysis,J CONVEX ANAL,0944-6532,数学,E,,4,否
Journal of Difference Equations and Applications,J DIFFER EQU APPL,1023-6198,数学,E,,4,否
Journal of Dynamics and Differential Equations,J DYN DIFFER EQU,1040-7294,数学,E,,4,否
Journal of Function Spaces,J FUNCT SPACE,2314-8896,数学,E,,4,否
Journal of Geometric Mechanics,J GEOM MECH,1941-4889,数学,E,,,
Journal of Geometry and Physics,J GEOM PHYS,0393-0440,数学,E,,3,否
Journal of Homotopy and Related Structures,J HOMOTOPY RELAT STR,2193-8407,数学,E,,2,否
Journal of Hyperbolic Differential Equations,J HYPERBOL DIFFER EQ,0219-8916,数学,E,,4,否
Journal of Inequalities and Applications,J INEQUAL APPL,1029-242X,数学,E,,3,否
Journal of Integral Equations and Applications,J INTEGRAL EQU APPL,0897-3962,数学,E,,4,否
Journal of Inverse and Ill-Posed Problems,J INVERSE ILL-POSE P,0928-0219,数学,E,,4,否
Journal of Knot Theory and Its Ramifications,J KNOT THEOR RAMIF,0218-2165,数学,E,,4,否
Journal of the Korean Mathematical Society,J KOREAN MATH SOC,0304-9914,数学,E,,4,否
Journal of the Korean Statistical Society,J KOREAN STAT SOC,1226-3192,数学,E,,4,否
Journal of Lie Theory,J LIE THEORY,0949-5932,数学,E,,4,否
Journal of Mathematics and Music,J MATH MUSIC,1745-9737,数学,E,,4,否
Journal of Mathematical Physics Analysis Geometry,J MATH PHYS ANAL GEO,1812-9471,数学,E,,4,否
Journal of the Mathematical Society of Japan,J MATH SOC JPN,0025-5645,数学,E,,3,否
Journal of Modern Dynamics,J MOD DYNAM,1930-5311,数学,E,,2,否
Journal of Nonlinear and Convex Analysis,J NONLINEAR CONVEX A,1345-4773,数学,E,,4,否
Journal of Nonparametric Statistics,J NONPARAMETR STAT,1048-5252,数学,E,,4,否
Journal of Official Statistics,J OFF STAT,0282-423X,数学,E,,4,否
Journal of Pseudo-Differential Operators and Applications,J PSEUDO-DIFFER OPER,1662-9981,数学,E,,4,否
Journal of the Royal Statistical Society Series C- Applied Statistics,J R STAT SOC C-APPL,0035-9254,数学,E,,4,否
Journal of the Ramanujan Mathematical Society,J RAMANUJAN MATH SOC,0970-1249,数学,E,,4,否
Journal of Statistical Computation and Simulation,J STAT COMPUT SIM,0094-9655,数学,E,,4,否
Journal of Statistical Planning and Inference,J STAT PLAN INFER,0378-3758,数学,E,,4,否
Journal de Theorie des Nombres de Bordeaux,J THEOR NOMBR BORDX,1246-7405,数学,E,,4,否
Journal of Theoretical Probability,J THEOR PROBAB,0894-9840,数学,E,,4,否
Journal of Time Series Analysis,J TIME SER ANAL,0143-9782,数学,E,,4,否
Journal of Topology and Analysis,J TOPOL ANAL,1793-5253,数学,E,,4,否
Japan Journal of Industrial and Applied Mathematics,JPN J IND APPL MATH,0916-7005,数学,E,,4,否
Japanese Journal of Mathematics,JPN J MATH,0289-2316,数学,E,,3,否
Kodai Mathematical Journal,KODAI MATH J,0386-5991,数学,E,,4,否
Kyoto Journal of Mathematics,KYOTO J MATH,2156-2261,数学,E,,3,否
Kyushu Journal of Mathematics,KYUSHU J MATH,1340-6116,数学,E,,3,否
Law Probability & Risk,LAW PROBAB RISK,1470-8396,数学,E,,4,否
Lecture Notes in Mathematics,LECT NOTES MATH,0075-8434,数学,E,,,
Lithuanian Mathematical Journal,LITH MATH J,0363-1672,数学,E,,4,否
LMS Journal of Computation and Mathematics,LMS J COMPUT MATH,1461-1570,数学,E,,,
